1000, 1.316457
1000, 1.174902
1000, 1.287111
1000, 1.237939
1000, 1.214545
1000, 1.284994
1000, 1.213939
1000, 1.193214
1000, 1.273347
1000, 1.266292
1000, 1.421216
1000, 1.289650
1000, 2.240067
1000, 2.335520
1000, 2.310887
1000, 2.547294
1000, 2.520771
1000, 2.344223
1000, 2.420767
1000, 2.446220
1000, 2.397893
1000, 2.548785
1000, 2.408373
1000, 2.498741
1000, 2.353656
1000, 2.384761
1000, 2.585324
1000, 2.484553
1000, 2.481490
1000, 2.441767
1000, 2.430616
1000, 2.424647
1000, 2.379659
1000, 2.476176
1000, 1.240448
1000, 1.302183
1000, 1.259346
1000, 1.252668
1000, 1.284027
1000, 1.254459
1000, 1.179240
1000, 1.150387
1000, 1.223525
1000, 1.167944
1000, 1.238113
1000, 1.206212
1000, 1.185999
1000, 1.222811
1000, 1.309721
1000, 1.220367
1000, 1.250579
1000, 1.283443
1000, 2.393218
1000, 2.591372
1000, 2.456907
1000, 2.404414
1000, 2.446503
1000, 2.578431
1000, 2.509750
1000, 2.367305
1000, 2.502684
1000, 2.505507
1000, 2.472876
1000, 2.407163
1000, 2.478216
1000, 2.380225
1000, 2.653411
1000, 2.546407
1000, 2.360859
1000, 2.634124
1000, 2.458461
1000, 2.508382
1000, 2.473546
1000, 2.532273
1000, 2.613833
1000, 1.227926
1000, 1.272013
1000, 1.133729
1000, 1.259673
1000, 1.265962
1000, 1.280000
1000, 1.303439
1000, 1.260864
1000, 1.312195
1000, 1.242994
1000, 1.227895
1000, 1.237706
1000, 1.232612
1000, 1.255689
1000, 1.244280
1000, 1.222332
1000, 1.208038
1000, 1.271780
1000, 1.183380
1000, 1.281024
1000, 1.256831
1000, 1.263029
1000, 1.230962
1000, 1.346243
1000, 1.221363
1000, 1.283895
1000, 1.281726
1000, 1.243889
1000, 1.222205
1000, 1.269007
1000, 1.255358
1000, 1.212612
1000, 1.290616
1000, 1.231368
1000, 1.056288
1000, 1.189855
1000, 2.422320
1000, 2.442010
1000, 2.442246
1000, 2.393081
1000, 2.321520
1000, 2.470189
1000, 2.278218
1000, 2.333735
1000, 2.465850
1000, 2.762543
1000, 2.368609
1000, 2.462860
1000, 2.497595
1000, 2.401804
1000, 2.356538
1000, 2.447063
1000, 2.326230
1000, 2.471645
1000, 2.430644
1000, 2.399923
1000, 2.428875
1000, 2.527187
1000, 1.205748
1000, 1.282734
1000, 1.253567
1000, 1.286763
1000, 1.244927
1000, 1.275741
1000, 1.204546
1000, 1.234143
